nu	phic1	phic1s	phic1s	phic2
0.830	0.799	0.421	0.378	0.748
0.767	0.771	0.410	0.361	0.699
0.752	0.764	0.404	0.360	0.694
0.759	0.761	0.404	0.357	0.696
0.733	0.764	0.402	0.363	0.701
0.758	0.758	0.400	0.359	0.703
0.750	0.759	0.409	0.351	0.709
0.783	0.750	0.399	0.351	0.703
0.736	0.758	0.409	0.349	0.688
0.742	0.753	0.399	0.354	0.691
0.726	0.754	0.412	0.342	0.697
0.758	0.751	0.403	0.349	0.701
0.768	0.758	0.402	0.356	0.712
0.744	0.752	0.402	0.350	0.699
0.751	0.755	0.408	0.347	0.702
0.785	0.749	0.411	0.338	0.707
0.724	0.748	0.406	0.342	0.713
0.792	0.749	0.403	0.346	0.694
0.751	0.713	0.387	0.326	0.654
0.785	0.744	0.405	0.339	0.698
0.754	0.749	0.408	0.341	0.714
0.733	0.712	0.388	0.324	0.650
0.728	0.701	0.377	0.324	0.650
0.777	0.704	0.385	0.319	0.645
0.786	0.739	0.402	0.338	0.698
0.740	0.741	0.401	0.340	0.706
0.759	0.698	0.384	0.314	0.658
0.750	0.698	0.378	0.320	0.655
0.848	0.849	0.412	0.437	0.722
0.786	0.840	0.416	0.425	0.720
0.803	0.842	0.408	0.434	0.734
0.821	0.837	0.413	0.424	0.731
0.803	0.831	0.412	0.420	0.721
0.805	0.815	0.411	0.404	0.726
0.804	0.827	0.417	0.410	0.735
0.830	0.822	0.415	0.408	0.732
0.825	0.816	0.418	0.398	0.752
0.821	0.816	0.408	0.409	0.755
0.759	0.775	0.397	0.377	0.709
0.769	0.773	0.404	0.369	0.702
0.803	0.813	0.430	0.383	0.740
0.805	0.804	0.423	0.380	0.763
0.803	0.803	0.420	0.383	0.762
0.794	0.802	0.426	0.376	0.770
0.830	0.799	0.421	0.378	0.748
0.760	0.790	0.425	0.365	0.753
0.819	0.748	0.390	0.358	0.703
0.740	0.755	0.403	0.352	0.710
0.742	0.758	0.407	0.351	0.708
0.760	0.753	0.404	0.349	0.703
0.751	0.756	0.404	0.353	0.708
0.771	0.756	0.407	0.349	0.715
0.733	0.750	0.403	0.347	0.716
0.786	0.797	0.428	0.369	0.769
0.803	0.790	0.426	0.365	0.770
0.849	0.784	0.432	0.352	0.759
0.794	0.879	0.438	0.441	0.727
0.820	0.841	0.417	0.425	0.729
0.828	0.832	0.409	0.423	0.734
0.812	0.835	0.412	0.424	0.752
0.820	0.836	0.411	0.426	0.740
0.814	0.829	0.414	0.416	0.739
0.805	0.803	0.404	0.399	0.737
0.883	0.824	0.417	0.406	0.736
0.787	0.829	0.426	0.403	0.747
0.820	0.814	0.419	0.395	0.750
0.794	0.815	0.422	0.393	0.766
0.751	0.780	0.405	0.375	0.703
0.821	0.799	0.417	0.383	0.749
0.795	0.801	0.423	0.378	0.755
0.759	0.770	0.402	0.369	0.703
0.795	0.796	0.417	0.379	0.765
0.822	0.796	0.425	0.371	0.774
0.831	0.793	0.418	0.375	0.771
0.726	0.749	0.398	0.351	0.703
0.786	0.755	0.402	0.353	0.710
0.764	0.755	0.400	0.355	0.714
0.714	0.754	0.404	0.350	0.710
0.794	0.751	0.403	0.347	0.699
0.728	0.751	0.405	0.347	0.715
0.759	0.747	0.404	0.343	0.709
0.786	0.744	0.406	0.338	0.716
0.752	0.754	0.411	0.343	0.710
0.751	0.752	0.405	0.347	0.718
0.760	0.709	0.387	0.322	0.656
0.776	0.749	0.406	0.343	0.696
0.785	0.750	0.405	0.345	0.703
0.776	0.748	0.407	0.341	0.710
0.812	0.743	0.400	0.343	0.711
0.733	0.743	0.402	0.341	0.718
0.759	0.745	0.411	0.334	0.707
0.741	0.704	0.389	0.315	0.650
0.748	0.742	0.402	0.340	0.715
0.735	0.738	0.404	0.333	0.706
0.753	0.733	0.402	0.331	0.726
0.785	0.692	0.382	0.310	0.661
0.767	0.741	0.402	0.340	0.700
0.819	0.737	0.412	0.325	0.721
0.743	0.733	0.407	0.327	0.718
0.738	0.688	0.383	0.305	0.661
0.733	0.733	0.409	0.324	0.699
0.797	0.823	0.399	0.424	0.730
0.805	0.833	0.403	0.430	0.743
0.812	0.831	0.403	0.428	0.749
0.811	0.820	0.401	0.419	0.743
0.803	0.820	0.401	0.419	0.738
0.831	0.824	0.406	0.418	0.752
0.840	0.814	0.406	0.408	0.754
0.821	0.816	0.407	0.409	0.758
0.812	0.818	0.410	0.408	0.751
0.803	0.809	0.406	0.403	0.756
0.830	0.810	0.408	0.402	0.755
0.804	0.798	0.407	0.390	0.749
0.802	0.803	0.414	0.389	0.749
0.742	0.763	0.390	0.373	0.704
0.790	0.761	0.395	0.366	0.708
0.750	0.764	0.395	0.369	0.693
0.822	0.799	0.417	0.383	0.758
0.810	0.800	0.414	0.386	0.751
0.785	0.751	0.386	0.365	0.715
0.794	0.797	0.414	0.384	0.754
0.803	0.784	0.409	0.375	0.748
0.830	0.791	0.410	0.381	0.762
0.813	0.792	0.414	0.378	0.742
0.750	0.747	0.395	0.352	0.709
0.748	0.828	0.392	0.436	0.678
0.821	0.804	0.382	0.423	0.668
0.785	0.803	0.387	0.416	0.681
0.808	0.818	0.394	0.424	0.725
0.789	0.798	0.386	0.412	0.698
0.831	0.802	0.395	0.408	0.734
0.803	0.824	0.412	0.412	0.761
0.747	0.807	0.400	0.407	0.712
0.776	0.780	0.390	0.390	0.688
0.798	0.793	0.396	0.398	0.741
0.728	0.788	0.399	0.389	0.713
0.813	0.769	0.389	0.380	0.711
0.752	0.771	0.388	0.383	0.685
0.801	0.785	0.399	0.387	0.754
0.819	0.790	0.404	0.385	0.720
0.768	0.764	0.389	0.375	0.700
0.794	0.762	0.391	0.370	0.695
0.778	0.758	0.385	0.373	0.703
0.812	0.758	0.394	0.365	0.714
0.725	0.758	0.392	0.366	0.717
0.820	0.754	0.390	0.364	0.717
0.760	0.754	0.388	0.365	0.712
0.732	0.754	0.391	0.362	0.709
0.777	0.754	0.390	0.365	0.714
0.778	0.751	0.388	0.363	0.708
0.740	0.735	0.381	0.354	0.667
0.720	0.730	0.376	0.354	0.703
0.778	0.750	0.394	0.356	0.702
0.763	0.734	0.378	0.356	0.672
0.787	0.721	0.379	0.342	0.702
0.728	0.743	0.387	0.356	0.711
0.750	0.747	0.390	0.357	0.720
0.754	0.742	0.393	0.350	0.710
0.802	0.744	0.389	0.355	0.717
0.802	0.890	0.424	0.466	0.731
0.846	0.836	0.397	0.439	0.737
0.786	0.836	0.404	0.432	0.738
0.795	0.826	0.397	0.429	0.745
0.847	0.830	0.408	0.422	0.746
0.813	0.823	0.397	0.427	0.742
0.856	0.794	0.384	0.410	0.742
0.803	0.820	0.406	0.415	0.737
0.821	0.819	0.408	0.410	0.766
0.823	0.694	0.328	0.365	0.718
0.837	0.871	0.418	0.454	0.741
0.749	0.590	0.283	0.307	0.674
0.795	0.826	0.402	0.424	0.743
0.812	0.864	0.417	0.447	0.722
0.819	0.830	0.404	0.427	0.721
0.802	0.828	0.404	0.424	0.749
0.778	0.824	0.408	0.416	0.724
0.838	0.821	0.410	0.411	0.734
0.822	0.821	0.413	0.407	0.736
0.777	0.822	0.415	0.406	0.727
0.840	0.789	0.400	0.389	0.738
0.786	0.772	0.393	0.379	0.683
0.793	0.775	0.397	0.379	0.679
0.743	0.756	0.391	0.365	0.687
0.777	0.765	0.394	0.371	0.690
0.759	0.762	0.399	0.363	0.706
0.802	0.749	0.392	0.356	0.701
0.769	0.754	0.399	0.355	0.683
0.741	0.755	0.400	0.354	0.693
0.794	0.750	0.393	0.357	0.696
0.751	0.748	0.402	0.346	0.694
0.768	0.713	0.382	0.331	0.633
0.787	0.754	0.406	0.348	0.690
0.738	0.743	0.397	0.346	0.692
0.759	0.742	0.399	0.342	0.709
0.768	0.692	0.376	0.317	0.650
0.732	0.772	0.380	0.392	0.689
0.742	0.778	0.384	0.394	0.682
0.795	0.747	0.369	0.378	0.636
0.768	0.739	0.363	0.375	0.637
0.768	0.740	0.370	0.369	0.634
0.766	0.766	0.382	0.383	0.695
0.742	0.779	0.390	0.390	0.689
0.742	0.736	0.369	0.367	0.638
0.777	0.727	0.363	0.363	0.641
0.759	0.730	0.362	0.368	0.637
0.890	0.816	0.394	0.422	0.725
0.831	0.828	0.401	0.427	0.728
0.804	0.829	0.402	0.427	0.748
0.829	0.808	0.398	0.410	0.756
0.801	0.812	0.398	0.414	0.744
0.837	0.815	0.407	0.409	0.755
0.786	0.804	0.401	0.403	0.749
0.821	0.808	0.405	0.403	0.752
0.805	0.809	0.404	0.405	0.748
0.813	0.807	0.406	0.401	0.762
0.786	0.802	0.401	0.401	0.757
0.810	0.798	0.402	0.396	0.741
0.830	0.801	0.408	0.393	0.757
0.829	0.805	0.414	0.391	0.752
0.796	0.798	0.404	0.394	0.752
0.822	0.789	0.401	0.388	0.754
0.810	0.788	0.404	0.384	0.778
0.829	0.789	0.408	0.381	0.745
0.795	0.786	0.400	0.386	0.757
0.801	0.781	0.403	0.378	0.757
0.822	0.790	0.409	0.382	0.769
0.769	0.748	0.386	0.362	0.717
0.822	0.792	0.409	0.383	0.763
0.751	0.751	0.386	0.365	0.708
0.820	0.789	0.407	0.382	0.776
0.802	0.876	0.407	0.469	0.724
0.796	0.847	0.396	0.451	0.736
0.812	0.846	0.398	0.449	0.729
0.848	0.845	0.396	0.449	0.734
0.804	0.843	0.396	0.447	0.750
0.812	0.833	0.393	0.440	0.730
0.752	0.816	0.389	0.428	0.693
0.815	0.813	0.395	0.418	0.740
0.792	0.822	0.394	0.428	0.755
0.735	0.808	0.391	0.416	0.699
0.780	0.801	0.388	0.413	0.749
0.809	0.815	0.396	0.420	0.771
0.804	0.789	0.384	0.405	0.701
0.820	0.800	0.397	0.403	0.748
0.803	0.808	0.396	0.412	0.758
0.772	0.791	0.393	0.399	0.712
0.741	0.766	0.378	0.387	0.698
0.843	0.801	0.395	0.405	0.764
0.737	0.778	0.389	0.389	0.740
0.829	0.768	0.387	0.381	0.706
0.809	0.792	0.393	0.399	0.761
0.780	0.772	0.393	0.379	0.716
0.789	0.754	0.381	0.372	0.718
0.753	0.758	0.386	0.372	0.709
0.772	0.776	0.394	0.382	0.767
0.809	0.853	0.394	0.459	0.732
0.786	0.846	0.399	0.446	0.745
0.805	0.837	0.390	0.447	0.742
0.839	0.840	0.395	0.445	0.750
0.803	0.837	0.399	0.438	0.758
0.814	0.836	0.395	0.441	0.745
0.812	0.825	0.390	0.435	0.764
0.805	0.830	0.398	0.432	0.750
0.811	0.819	0.396	0.423	0.752
0.837	0.689	0.321	0.368	0.741
0.777	0.566	0.262	0.304	0.659
0.820	0.815	0.400	0.415	0.748
0.755	0.706	0.372	0.334	0.665
0.777	0.697	0.368	0.328	0.654
0.768	0.703	0.372	0.331	0.649
0.768	0.699	0.374	0.325	0.643
0.850	0.723	0.386	0.337	0.694
0.717	0.714	0.384	0.330	0.660
0.759	0.694	0.369	0.325	0.659
0.803	0.835	0.406	0.429	0.717
0.803	0.773	0.382	0.392	0.672
0.768	0.856	0.423	0.433	0.713
0.766	0.760	0.369	0.391	0.664
0.760	0.790	0.391	0.398	0.685
0.741	0.752	0.377	0.375	0.678
0.777	0.787	0.396	0.390	0.688
0.766	0.785	0.389	0.396	0.684
0.743	0.760	0.381	0.379	0.693
0.785	0.770	0.391	0.379	0.680
0.803	0.727	0.369	0.358	0.625
0.710	0.713	0.368	0.344	0.640
0.759	0.723	0.367	0.355	0.626
0.753	0.763	0.391	0.372	0.697
0.715	0.749	0.393	0.355	0.680
0.751	0.754	0.391	0.363	0.685
0.772	0.713	0.375	0.338	0.644
0.750	0.713	0.372	0.341	0.630
0.766	0.773	0.386	0.387	0.692
0.731	0.770	0.386	0.384	0.672
0.768	0.735	0.370	0.364	0.639
0.732	0.760	0.387	0.373	0.702
0.722	0.764	0.385	0.378	0.677
0.790	0.763	0.388	0.375	0.699
0.750	0.761	0.385	0.376	0.689
0.744	0.765	0.392	0.372	0.692
0.758	0.762	0.387	0.375	0.692
0.733	0.764	0.389	0.374	0.696
0.746	0.753	0.388	0.365	0.696
0.733	0.753	0.386	0.367	0.698
0.760	0.721	0.374	0.348	0.638
0.767	0.746	0.387	0.358	0.688
0.717	0.721	0.369	0.352	0.635
0.776	0.747	0.382	0.365	0.699
0.767	0.758	0.396	0.362	0.688
0.734	0.721	0.375	0.346	0.642
0.716	0.708	0.367	0.341	0.649
0.768	0.713	0.370	0.343	0.639
0.750	0.750	0.388	0.362	0.694
0.707	0.716	0.372	0.345	0.644
0.723	0.742	0.383	0.359	0.704
0.742	0.712	0.371	0.342	0.644
0.745	0.709	0.370	0.339	0.660
0.734	0.743	0.389	0.354	0.690
0.758	0.746	0.388	0.358	0.696
0.733	0.706	0.366	0.339	0.657
0.715	0.706	0.374	0.332	0.647
0.785	0.737	0.380	0.357	0.704
0.759	0.708	0.369	0.338	0.654
0.750	0.743	0.391	0.352	0.691
0.725	0.700	0.364	0.336	0.659
0.749	0.740	0.384	0.356	0.712
0.750	0.744	0.395	0.349	0.713
0.743	0.729	0.387	0.342	0.727
0.725	0.685	0.362	0.323	0.655
0.795	0.849	0.396	0.453	0.740
0.830	0.839	0.394	0.444	0.724
0.785	0.835	0.395	0.439	0.737
0.795	0.829	0.392	0.437	0.746
0.794	0.829	0.396	0.433	0.736
0.813	0.828	0.401	0.428	0.738
0.813	0.843	0.404	0.439	0.744
0.803	0.808	0.391	0.417	0.749
0.803	0.814	0.393	0.421	0.746
0.796	0.825	0.401	0.424	0.751
0.797	0.804	0.395	0.409	0.767
0.839	0.819	0.405	0.414	0.773
0.814	0.814	0.403	0.411	0.768
0.811	0.799	0.394	0.405	0.767
0.819	0.709	0.338	0.370	0.736
0.838	0.823	0.389	0.434	0.734
0.806	0.830	0.399	0.431	0.747
0.822	0.821	0.402	0.419	0.758
0.778	0.794	0.385	0.409	0.690
0.741	0.778	0.379	0.399	0.695
0.811	0.804	0.391	0.413	0.759
